Rank,City ,City_russian,Federal_subject,Federal_district ,Population_2020,Population_2010,Population_growth
303,Vyksa,?????, Nizhny Novgorod Oblast,Volga,"53,010","56,201",?5.68%
304,Gus-Khrustalny,????-???????????, Vladimir Oblast,Central,"52,779","60,784",?13.17%
305,Vorkuta,???????, Komi Republic,Northwest,"52,776","70,548",?25.19%
306,Krasnokamsk,???????????, Perm Krai,Volga,"52,537","51,916",1.20%
307,Vyazma,??????, Smolensk Oblast,Central,"52,347","57,101",?8.33%
308,Arsenyev,????????, Primorsky Krai,Far East,"52,173","56,750",?8.07%
309,Snezhinsk,????????, Chelyabinsk Oblast,Ural,"51,751","48,810",6.03%
310,Zhigulyovsk,?????????, Samara Oblast,Volga,"51,641","55,565",?7.06%
311,Belorechensk,???????????, Krasnodar Krai,South,"51,590","53,892",?4.27%
312,Krasnokamensk,?????????????, Zabaykalsky Krai,Far East,"51,387","55,666",?7.69%
313,Salekhard,????????, Yamalo-Nenets Autonomous Okrug,Ural,"50,976","42,544",19.82%
314,Timashyovsk,?????????, Krasnodar Krai,South,"50,792","53,924",?5.81%
315,Kirishi,??????, Leningrad Oblast,Northwest,"50,525","52,309",?3.41%
316,Solnechnogorsk,?????????????, Moscow Oblast,Central,"50,169","52,944",?5.24%
317,Cheremkhovo,?????????, Irkutsk Oblast,Siberia,"50,154","52,647",?4.74%
